"","cardId","name","cardSet","type","rarity","text","locale","playerClass","name.1","faction","health","collectible","img","imgGold","attack","race","cost","flavor","artist","howToGet","howToGetGold","inPlayText","durability","mechanics.name","mechanics.name.1","elite","mechanics.name.2","mechanics.name.3"
"1","GAME_004","AFK","Basic","Enchantment","Free","Your turns are shorter.","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","CS2_041e","Ancestral Infusion","Basic","Enchantment","Free","Taunt.","enUS","Shaman","Taunt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","HERO_09","Anduin Wrynn","Basic","Hero","Free",NA,"enUS","Priest",NA,"Neutral",30,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/HERO_09.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/HERO_09_premium.gif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","EX1_399e","Berserking","Basic","Enchantment","Free","This minion has increased Attack.","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","CS2_092e","Blessing of Kings","Basic","Enchantment","Free","+4/+4.","enUS","Paladin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","CS2_087e","Blessing of Might","Basic","Enchantment","Free","+3 Attack.","enUS","Paladin",NA,"Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","CS2_046e","Bloodlust","Basic","Enchantment","Free","+3 Attack this turn.","enUS","Shaman","OneTurnEffect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","CS2_103e2","Charge","Basic","Enchantment","Free","+2 Attack and <b>Charge</b>.","enUS","Warrior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","DS1_178e","Charge","Basic","Enchantment","Free","Tundra Rhino grants <b>Charge</b>.","enUS","Hunter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","EX1_084e","Charge","Basic","Enchantment","Free","Warsong Commander is granting this minion +1 Attack.","enUS","Warrior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","CS2_005o","Claw","Basic","Enchantment","Free","+2 Attack this turn.","enUS","Druid","OneTurnEffect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","CS2_017o","Claws","Basic","Enchantment","Free","Your hero has +1 Attack this turn.","enUS","Druid","OneTurnEffect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","EX1_019e","Cleric's Blessing","Basic","Enchantment","Free","+1/+1.","enUS","Priest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","GAME_003","Coin's Vengeance","Basic","Enchantment","Free","Going second makes your first minion stronger.","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","GAME_003e","Coin's Vengence","Basic","Enchantment","Free","Going second makes your first minion stronger.","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","CS2_063e","Corruption","Basic","Enchantment","Free","At the start of the corrupting player's turn, destroy this minion.","enUS","Warlock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","CS2_074e","Deadly Poison","Basic","Enchantment","Free","+2 Attack.","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","CS2_236e","Divine Spirit","Basic","Enchantment","Free","This minion has double Health.","enUS","Priest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","CS2_122e","Enhanced","Basic","Enchantment","Free","Raid Leader is granting this minion +1 Attack.","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","NEW1_033o","Eye In The Sky","Basic","Enchantment","Free","Leokk is granting this minion +1 Attack.","enUS","Hunter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","EX1_565o","Flametongue","Basic","Enchantment","Free","+2 Attack from Flametongue Totem.","enUS","Shaman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","hexfrog","Frog","Basic","Minion","Free","<b>Taunt</b>","enUS",NA,"Taunt","Neutral",1,NA,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/hexfrog.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/hexfrog_premium.gif",0,"Beast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","CS2_226e","Frostwolf Banner","Basic","Enchantment","Free","Increased stats.","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","DS1_175o","Furious Howl","Basic","Enchantment","Free","This Beast has +1 Attack from Timber Wolf.","enUS","Hunter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","HERO_01","Garrosh Hellscream","Basic","Hero","Free",NA,"enUS","Warrior",NA,"Neutral",30,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/HERO_01.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/HERO_01_premium.gif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","HERO_07","Gul'dan","Basic","Hero","Free",NA,"enUS","Warlock",NA,"Neutral",30,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/HERO_07.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/HERO_07_premium.gif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CS2_105e","Heroic Strike","Basic","Enchantment","Free","+4 Attack this turn.","enUS","Warrior","OneTurnEffect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","EX1_246e","Hexxed","Basic","Enchantment","Free","This minion has been transformed!","enUS","Shaman","Morph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","EX1_360e","Humility","Basic","Enchantment","Free","Attack has been changed to 1.","enUS","Paladin",NA,"Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","CS2_084e","Hunter's Mark","Basic","Enchantment","Free","This minion has 1 Health.","enUS","Hunter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
